codigo,Municipio,Consumo percapita,Perdas distribuicao,Producao,Consumo
2703403,Jacaré dos Homens,140.4,82.8,0,212.77
2703700,Jaramataia,65.2,68.04,0,81.65
2704104,Lagoa da Canoa,88.2,21.37,0,424.21
2704401,Major Isidoro,86.6,61,0,310.89
2704609,Maravilha,95,63.07,0,199.1
2705002,Mata Grande,90,10.59,0,323.94
2705309,Minador do Negrão,55.8,8.51,0,37.29
2705408,Monteirópolis,118.2,64.99,0,176.02
2705705,Olho D ÁGUA das Flores,121,66.52,0,793.11
2705804,Olho D ÁGUA do Casado,64.5,22.19,797.07,620.21
2706000,Olivença,107.8,58.45,0,213.04
2706109,Ouro Branco,56.7,64.89,0,105.18
2706208,Palestina,102.5,67.62,0,147.75
2706307,Palmeira dos Índios,116.8,46.16,0,2708.16
2706406,Pão de Açúcar,215.1,2.87,18799.6,18729.24
2706422,Pariconha,101.5,7.28,0,281.53
2707107,Piranhas,86.6,82.11,3480.7,701.05
2707206,Poço das Trincheiras,117.3,70.99,0,133.45
2707602,Quebrangulo,78,31.32,7613.35,5228.93
2708006,Santana do Ipanema,122.3,64.96,0,1518.13
2708402,São José da Tapera,99.7,68.85,0,566.11
2708956,Senador Rui Palmeira,83.1,64.92,0,126.82
2709202,Traipu,56.3,3.16,10224.42,9901.62
2800100,Amparo de São Francisco,101.5,68.26,241.78,76.74
2800209,Aquidabã,93,66.72,1931.58,642.81
2801108,Canhoba,104.5,74.77,607.07,153.17
2801207,Canindé de São Francisco,100.2,77.26,3035.34,690.09
2801405,Carira,88.2,56.04,1379.7,606.53
2801603,Cedro de São João,114,73.23,879.79,235.5
2801900,Cumbe,166,57.73,551.88,233.27
2802205,Feira Nova,106.7,68.97,673.82,209.12
2802304,Frei Paulo,84,53.78,965.79,446.41
2802403,Gararu,96.4,62.58,967.79,362.16
2802601,Gracho Cardoso,119.1,54.68,551.88,250.12
2803104,Itabi,134.7,70.8,832.35,243.03
2803708,Macambira,88.2,47.2,348,183.75
2804201,Monte Alegre de Sergipe,96.6,73.63,1793.61,472.98
2804458,Nossa Senhora Aparecida,121.5,44.06,689.85,385.88
2804508,Nossa Senhora da Glória,114.5,60.93,3725.19,1455.41
2804607,Nossa Senhora das Dores,76.6,59.69,1673.16,674.39
2804706,Nossa Senhora de Lourdes,104.2,75.38,965.79,237.82
2805000,Pedra Mole,97,47.06,206.95,109.55
2805208,Pinhão,82.5,58.87,394.2,162.12
2805406,Poço Redondo,93.1,77.15,2759.4,630.39
2805505,Poço Verde,85,47.83,1201.52,626.89
2805604,Porto da Folha,87.5,73.16,3311.28,888.75
2805703,Propriá,105.8,71.92,3845.98,1079.97
2806008,Ribeirópolis,90,53.94,1155,531.96
2807006,São Miguel do Aleixo,85.3,66.1,275.94,93.55
2807105,Simão Dias,85.2,66.64,2645.46,882.64
2807303,Telha,106.2,77.29,528.65,120.08
2807402,Tobias Barreto,94.2,45.74,2628,1426.02
2900108,Abaíra,NA,NA,NA,NA
2900207,Abaré,97.5,27.29,634.06,439.08
2900355,Adustina,95.1,29.29,0,351.93
2900405,Água Fria,81,33.13,360.8,238.28
2900504,Érico Cardoso,83.4,40,235,141
2901007,Amargosa,90,6.09,1262.72,1068.56
2901155,América Dourada,79.6,37.01,645.83,402.75
2901205,Anagé,97.4,27.85,313.23,225.94
2901304,Andaraí,79.5,31.56,366.71,248.09
2901353,Andorinha,79.7,26.19,0,286.6
2901502,Anguera,65.4,46.53,372.42,195.54
2901601,Antas,78,29.42,438.83,309.39
2901700,Antônio Cardoso,83.9,11.11,174.48,153.92
2901809,Antônio Gonçalves,84.3,17.57,341.67,278.47
2902005,Aracatu,88.3,20.33,244.89,189.96
2902104,Araci,78.3,16.43,952.17,764.85
2902609,Baixa Grande,83.1,38.48,646.74,388.57
2902658,Banzaê,74.1,36.74,238.88,152.84
2902708,Barra,NA,NA,NA,NA
2902807,Barra da Estiva,101.9,14.39,803.85,688.19
2902906,Barra do Choça,91.1,0.02,1100.84,1115.78
2903003,Barra do Mendes,83.1,31.04,501.35,342.27
2903235,Barro Alto,83.3,9.38,216.72,194.44
2903276,Barrocas,78.2,43.81,0,335.61
2903508,Belo Campo,62.8,18.78,0,154.64
2903607,Biritinga,86.6,19.98,733.64,581.51
2903706,Boa Nova,87.9,27.25,403.56,292.66
2903805,Boa Vista do Tupim,76.4,9.04,408.69,358.26
2903904,Bom Jesus da Lapa,86.4,46.5,4080,2183
2903953,Bom Jesus da Serra,77.4,26.76,185.53,135.07
2904001,Boninal,89,12.16,211.66,181.73
2904050,Bonito,70.7,18.64,221.78,180.19
2904100,Boquira,NA,NA,NA,NA
2904209,Botuporã,124,NA,284.22,265.53
2904308,Brejões,70.5,36.02,577.58,354.16
2904407,Brejolândia,96.3,18.37,130.95,103.95
2904506,Brotas de Macaúbas,89.4,4.61,143.5,131.7
2904605,Brumado,106.5,20.21,3330.88,2539
2904753,Buritirama,NA,NA,NA,NA
2904803,Caatiba,64.3,26.64,230.31,168.95
2904852,Cabaceiras do Paraguaçu,79.6,9.96,297.89,255.94
2905008,Caculé,97.5,23.67,927.15,684.27
2905107,Caém,32.6,36.28,58.82,37.47
2905156,Caetanos,68.6,26.49,133.42,97.69
2905206,Caetité,89.1,18.6,1501.34,1220.86
2905305,Cafarnaum,74.5,39.67,536.03,320.18
2905503,Caldeirão Grande,96.4,17.36,432.11,355.85
2905909,Campo Alegre de Lourdes,79.2,40.48,420,250
2906006,Campo Formoso,78.9,26.41,1237.21,859.91
2906204,Canarana,83.5,36.72,900.12,563.91
2906402,Candeal,65.9,50.47,232.47,112.95
2906600,Candiba,98,26.09,530.75,380.93
2906709,Cândido Sales,88.5,16.76,738.26,532.14
2906808,Cansanção,73.9,36.83,1626.22,1004.77
2906824,Canudos,87.5,33.97,535.83,349.47
2906857,Capela do Alto Alegre,134.3,0,449.96,449.1
2906873,Capim Grosso,109.6,11.94,1331.76,1168.91
2906899,Caraíbas,102.7,15.34,151.96,127.95
2907103,Carinhanha,253.7,2.05,1955,1915
2907202,Casa Nova,185.4,13.83,4283.54,3691.12
2907301,Castro Alves,82.2,32.24,1063.96,683.16
2907558,Caturama,85.8,27.87,266.68,176.61
2907608,Central,93.4,32.21,742.63,498.43
2907707,Chorrochó,84,34.41,342.51,224.08
2907806,Cícero Dantas,82.2,3.53,3201.37,2872
2907905,Cipó,97.4,23.27,609.7,467.4
2908101,Cocos,NA,NA,NA,NA
2908408,Conceição do Coité,81.5,48.4,57.01,1626.06
2908705,Condeúba,91,16.45,412.91,303.3
2908804,Contendas do Sincorá,86.4,35.36,147.54,95.37
2909000,Cordeiros,81.5,21.11,211.76,146.87
2909109,Coribe,156.2,45.2,1478,810
2909208,Coronel João Sá,76.7,31.61,452.71,307.35
2909505,Cravolândia,76.6,30.52,134.52,92.56
2909604,Crisópolis,84.4,19.24,354.22,285.93
2909901,Curaçá,73.3,71.88,2864.23,805.43
2910107,Dom Basílio,NA,NA,NA,NA
2910305,Elísio Medrado,91.1,14.39,145.52,124.08
2910404,Encruzilhada,83.9,19.72,242.7,184.21
2910701,Euclides da Cunha,89.6,39.54,1760.48,1507.16
2910750,Fátima,82.5,36.4,785.03,996
2910776,Feira da Mata,NA,NA,NA,NA
2910800,Feira de Santana,83.8,48.55,35389.53,17596.87
2910859,Filadélfia,87.5,24.25,628.18,474.21
2911253,Gavião,84.1,13.08,118.44,102.56
2911303,Gentio do Ouro,95.6,21.51,167.05,131.02
2911402,Glória,92.2,16.39,514.81,492.88
2911659,Guajeru,76.3,32.89,137.27,92.06
